f_div_flux_expansion,deg_div_field_plate,ifail,pflux_div_heat_load_mw
1.5,0.5,1,17.8444874900285
1.5,1.0,1,8.922583489653212
1.5,2.0,1,4.461971324671397
1.5,3.0,1,2.9754028532347343
1.5,5.0,1,1.7866929776834175
2.0,0.5,1,13.409016634023367
2.0,1.0,1,6.704763613865556
2.0,2.0,1,3.3528924686958597
2.0,3.0,1,2.235829209117926
2.0,5.0,1,1.342588060936875
3.0,0.5,1,8.951599381028307
3.0,1.0,1,4.475970121741251
3.0,2.0,1,2.238325968757242
3.0,3.0,1,1.4925962067674587
3.0,5.0,1,0.8962857443821693
4.0,0.5,1,6.716922418814714
4.0,1.0,1,3.3585890941887713
4.0,2.0,1,1.6795503507478895
4.0,3.0,1,1.1199845409438394
4.0,5.0,1,0.6725370019198795
5.0,0.5,1,5.374732160830374
5.0,1.0,1,2.687468410977413
5.0,2.0,1,1.3439388938917605
5.0,3.0,1,0.8961867588320207
5.0,5.0,1,0.5381491743066873
