f_div_flux_expansion,rad_fraction_sol,ifail,pflux_div_heat_load_mw
1.5,0.4,1,17.869413638222678
1.5,0.5,1,14.891178031852231
1.5,0.6,1,11.912942425481786
1.5,0.7,1,8.93470681911134
1.5,0.8,1,5.956471212740891
2.0,0.4,1,13.423101930084645
2.0,0.5,1,11.185918275070536
2.0,0.6,1,8.948734620056431
2.0,0.7,1,6.711550965042323
2.0,0.8,1,4.474367310028214
3.0,0.4,1,8.958781476482
3.0,0.5,1,7.465651230401667
3.0,0.6,1,5.972520984321334
3.0,0.7,1,4.479390738241001
3.0,0.8,1,2.986260492160666
4.0,0.4,1,6.7217274059994105
4.0,0.5,1,5.601439504999509
4.0,0.6,1,4.481151603999607
4.0,0.7,1,3.3608637029997057
4.0,0.8,1,2.240575801999803
5.0,0.4,1,5.378360522478449
5.0,0.5,1,4.481967102065374
5.0,0.6,1,3.585573681652299
5.0,0.7,1,2.689180261239225
5.0,0.8,1,1.7927868408261491
