rad_fraction_sol,deg_div_field_plate,ifail,pflux_div_heat_load_mw
0.4,0.5,1,40.26521698337352
0.4,1.0,1,20.1333751089188
0.4,2.0,1,10.0682209932832
0.4,3.0,1,6.7138516343152155
0.4,5.0,1,4.03158569105969
0.5,0.5,1,33.5543474861446
0.5,1.0,1,16.777812590765667
0.5,2.0,1,8.390184161069334
0.5,3.0,1,5.594876361929346
0.5,5.0,1,3.359654742549742
0.6,0.5,1,26.843477988915684
0.6,1.0,1,13.422250072612533
0.6,2.0,1,6.712147328855467
0.6,3.0,1,4.475901089543477
0.6,5.0,1,2.6877237940397936
0.7,0.5,1,20.132608491686764
0.7,1.0,1,10.066687554459401
0.7,2.0,1,5.034110496641601
0.7,3.0,1,3.356925817157608
0.7,5.0,1,2.0157928455298455
0.8,0.5,1,13.421738994457838
0.8,1.0,1,6.711125036306265
0.8,2.0,1,3.3560736644277327
0.8,3.0,1,2.237950544771738
0.8,5.0,1,1.3438618970198966
